SRA Accession,species,Data type
SRR13355906,Chlamydomonas reinhardtii,RNA-seq
SRR13355907,Chlamydomonas reinhardtii,RNA-seq
SRR13355908,Chlamydomonas reinhardtii,RNA-seq
SRR13355909,Chlamydomonas reinhardtii,RNA-seq
SRR13355910,Chlamydomonas reinhardtii,RNA-seq
SRR13355911,Chlamydomonas reinhardtii,RNA-seq
SRR13355912,Chlamydomonas reinhardtii,RNA-seq
SRR13355913,Chlamydomonas reinhardtii,RNA-seq
SRR13355914,Chlamydomonas reinhardtii,RNA-seq
SRR13355915,Chlamydomonas reinhardtii,RNA-seq
SRR13355916,Chlamydomonas reinhardtii,RNA-seq
SRR13355917,Chlamydomonas reinhardtii,RNA-seq
SRR13355918,Chlamydomonas reinhardtii,RNA-seq
SRR13355919,Chlamydomonas reinhardtii,RNA-seq
SRR13355920,Chlamydomonas reinhardtii,RNA-seq
SRR13355921,Chlamydomonas reinhardtii,RNA-seq
SRR13355922,Chlamydomonas reinhardtii,RNA-seq
SRR13355923,Chlamydomonas reinhardtii,RNA-seq
SRR13355924,Chlamydomonas reinhardtii,RNA-seq
SRR13355925,Chlamydomonas reinhardtii,RNA-seq
SRR13355926,Chlamydomonas reinhardtii,RNA-seq
SRR13355927,Chlamydomonas reinhardtii,RNA-seq
SRR13355928,Chlamydomonas reinhardtii,RNA-seq
SRR13355929,Chlamydomonas reinhardtii,RNA-seq
SRR13355930,Chlamydomonas reinhardtii,RNA-seq
SRR13355931,Chlamydomonas reinhardtii,RNA-seq
SRR13355932,Chlamydomonas reinhardtii,RNA-seq
SRR13355933,Chlamydomonas reinhardtii,RNA-seq
SRR13355934,Chlamydomonas reinhardtii,RNA-seq
SRR13355935,Chlamydomonas reinhardtii,RNA-seq
SRR13355936,Chlamydomonas reinhardtii,RNA-seq
SRR13480279,Chlamydomonas reinhardtii,RNA-seq
SRR13480280,Chlamydomonas reinhardtii,RNA-seq
SRR13480281,Chlamydomonas reinhardtii,RNA-seq
SRR13480282,Chlamydomonas reinhardtii,RNA-seq
SRR13480283,Chlamydomonas reinhardtii,RNA-seq
SRR13480284,Chlamydomonas reinhardtii,RNA-seq
SRR13686480,Chlamydomonas reinhardtii,RNA-seq
SRR13855980,Chlamydomonas reinhardtii,RNA-seq
SRR13855981,Chlamydomonas reinhardtii,RNA-seq
SRR13855982,Chlamydomonas reinhardtii,RNA-seq
SRR13855983,Chlamydomonas reinhardtii,RNA-seq
SRR13855984,Chlamydomonas reinhardtii,RNA-seq
SRR13855985,Chlamydomonas reinhardtii,RNA-seq
SRR13855986,Chlamydomonas reinhardtii,RNA-seq
SRR13855987,Chlamydomonas reinhardtii,RNA-seq
SRR13855988,Chlamydomonas reinhardtii,RNA-seq
SRR13855989,Chlamydomonas reinhardtii,RNA-seq
SRR13855990,Chlamydomonas reinhardtii,RNA-seq
SRR13855991,Chlamydomonas reinhardtii,RNA-seq
SRR13855992,Chlamydomonas reinhardtii,RNA-seq
SRR13855993,Chlamydomonas reinhardtii,RNA-seq
SRR13855994,Chlamydomonas reinhardtii,RNA-seq
SRR13855995,Chlamydomonas reinhardtii,RNA-seq
SRR13855996,Chlamydomonas reinhardtii,RNA-seq
SRR13855997,Chlamydomonas reinhardtii,RNA-seq
SRR14160256,Chlamydomonas reinhardtii,RNA-seq
SRR14160257,Chlamydomonas reinhardtii,RNA-seq
SRR14160258,Chlamydomonas reinhardtii,RNA-seq
SRR14160259,Chlamydomonas reinhardtii,RNA-seq
SRR14160260,Chlamydomonas reinhardtii,RNA-seq
SRR14160261,Chlamydomonas reinhardtii,RNA-seq
SRR14746966,Chlamydomonas reinhardtii,RNA-seq
SRR14746967,Chlamydomonas reinhardtii,RNA-seq
SRR14746968,Chlamydomonas reinhardtii,RNA-seq
SRR14746969,Chlamydomonas reinhardtii,RNA-seq
SRR14746970,Chlamydomonas reinhardtii,RNA-seq
SRR14746971,Chlamydomonas reinhardtii,RNA-seq
SRR14746972,Chlamydomonas reinhardtii,RNA-seq
SRR14746973,Chlamydomonas reinhardtii,RNA-seq
SRR14746974,Chlamydomonas reinhardtii,RNA-seq
SRR14746975,Chlamydomonas reinhardtii,RNA-seq
SRR14746976,Chlamydomonas reinhardtii,RNA-seq
SRR14746977,Chlamydomonas reinhardtii,RNA-seq
SRR14746978,Chlamydomonas reinhardtii,RNA-seq
SRR14746979,Chlamydomonas reinhardtii,RNA-seq
SRR14746980,Chlamydomonas reinhardtii,RNA-seq
SRR14746981,Chlamydomonas reinhardtii,RNA-seq
SRR14746982,Chlamydomonas reinhardtii,RNA-seq
SRR14746983,Chlamydomonas reinhardtii,RNA-seq
SRR14746984,Chlamydomonas reinhardtii,RNA-seq
SRR14746985,Chlamydomonas reinhardtii,RNA-seq
SRR14746986,Chlamydomonas reinhardtii,RNA-seq
SRR14746987,Chlamydomonas reinhardtii,RNA-seq
SRR14746988,Chlamydomonas reinhardtii,RNA-seq
SRR14746989,Chlamydomonas reinhardtii,RNA-seq
SRR14746990,Chlamydomonas reinhardtii,RNA-seq
SRR14783975,Chlamydomonas reinhardtii,RNA-seq
SRR14783976,Chlamydomonas reinhardtii,RNA-seq
SRR14783977,Chlamydomonas reinhardtii,RNA-seq
SRR14783978,Chlamydomonas reinhardtii,RNA-seq
SRR14783979,Chlamydomonas reinhardtii,RNA-seq
SRR14783980,Chlamydomonas reinhardtii,RNA-seq
SRR14783981,Chlamydomonas reinhardtii,RNA-seq
SRR14783982,Chlamydomonas reinhardtii,RNA-seq
SRR14783983,Chlamydomonas reinhardtii,RNA-seq
SRR14783984,Chlamydomonas reinhardtii,RNA-seq
SRR14836521,Chlamydomonas reinhardtii,RNA-seq
SRR14836522,Chlamydomonas reinhardtii,RNA-seq
SRR14836523,Chlamydomonas reinhardtii,RNA-seq
SRR14836524,Chlamydomonas reinhardtii,RNA-seq
SRR14836525,Chlamydomonas reinhardtii,RNA-seq
SRR14836526,Chlamydomonas reinhardtii,RNA-seq
SRR15042142,Chlamydomonas reinhardtii,RNA-seq
SRR15042143,Chlamydomonas reinhardtii,RNA-seq
SRR15042144,Chlamydomonas reinhardtii,RNA-seq
SRR15042145,Chlamydomonas reinhardtii,RNA-seq
SRR15042146,Chlamydomonas reinhardtii,RNA-seq
SRR15042147,Chlamydomonas reinhardtii,RNA-seq
SRR1521680,Chlamydomonas reinhardtii,RNA-seq
SRR1521681,Chlamydomonas reinhardtii,RNA-seq
SRR1521682,Chlamydomonas reinhardtii,RNA-seq
SRR1521683,Chlamydomonas reinhardtii,RNA-seq
SRR1521684,Chlamydomonas reinhardtii,RNA-seq
SRR1521685,Chlamydomonas reinhardtii,RNA-seq
SRR1521686,Chlamydomonas reinhardtii,RNA-seq
SRR1521687,Chlamydomonas reinhardtii,RNA-seq
SRR1521688,Chlamydomonas reinhardtii,RNA-seq
SRR1521689,Chlamydomonas reinhardtii,RNA-seq
